//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440498.22999146,4464181.84999268,7.78000021,78,255,0,2.000000,14.000000,373113.250000,1.000000
440498.82999756,4464184.30000488,7.76000023,77,255,0,2.000000,28.000000,373113.750000,1.000000
440499.27999451,4464181.97999756,7.44000006,64,255,0,2.000000,12.000000,373113.937500,1.000000
440498.93999817,4464184.18998901,7.90000010,83,255,0,2.000000,8.000000,373114.656250,1.000000
440495.65999939,4464174.84999268,7.48999977,65,255,0,3.000000,9.000000,373165.968750,1.000000
440497.94999268,4464173.05000488,8.13000011,93,255,0,3.000000,13.000000,373164.781250,1.000000
440495.99999573,4464173.43000977,8.39000034,104,255,0,3.000000,3.000000,373167.281250,1.000000
440495.10000183,4464172.84001343,7.82999992,80,255,0,3.000000,20.000000,373171.093750,1.000000
440496.58999207,4464183.93000977,8.89999962,126,255,0,2.000000,25.000000,373110.437500,1.000000
440494.80999329,4464182.84999268,8.10999966,92,255,0,2.000000,21.000000,373111.031250,1.000000
440495.22999146,4464176.83000366,8.15999985,94,255,0,2.000000,5.000000,373111.125000,1.000000
440496.30999329,4464183.39000122,8.69999981,118,255,0,2.000000,17.000000,373112.250000,1.000000
440490.39998962,4464175.75999634,8.72999954,119,255,0,2.000000,22.000000,373113.937500,1.000000
440501.46999695,4464175.52998535,8.47000027,108,255,0,2.000000,26.000000,373114.843750,1.000000
440497.27999451,4464177.43998901,7.80000019,79,255,0,2.000000,20.000000,373115.656250,1.000000
440490.52000000,4464177.87001221,8.51000023,109,255,0,3.000000,29.000000,373165.875000,1.000000
440491.41999390,4464176.08000366,8.64999962,115,255,0,3.000000,21.000000,373167.687500,1.000000
440495.96999695,4464176.65999023,8.18999958,96,255,0,3.000000,6.000000,373170.593750,1.000000
440498.13000061,4464172.62999146,7.51999998,67,255,0,3.000000,1.000000,373167.468750,1.000000
440498.14998962,4464172.68000977,7.48999977,65,255,0,3.000000,14.000000,373167.968750,1.000000
440497.49000122,4464172.62999146,8.19999981,96,255,0,3.000000,20.000000,373170.687500,1.000000
440494.36999084,4464174.56999390,5.38999987,0,231,23,3.000000,1.000000,373168.187500,1.000000
440492.70998718,4464179.37001221,5.48999977,0,235,19,2.000000,17.000000,373111.750000,1.000000
440492.21999695,4464178.28999512,5.53000021,0,237,17,2.000000,12.000000,373112.750000,1.000000
440492.92998840,4464174.74000732,6.19999981,10,255,0,3.000000,13.000000,373165.562500,1.000000
440491.79999878,4464175.43000977,6.55000019,26,255,0,3.000000,9.000000,373166.375000,1.000000
440493.00999023,4464176.36000244,4.55000019,0,195,59,3.000000,5.000000,373167.281250,1.000000
440492.15999939,4464175.77000610,5.82000017,0,249,5,3.000000,5.000000,373167.562500,1.000000
440492.42998840,4464176.21000854,5.59999990,0,240,14,3.000000,28.000000,373169.468750,1.000000
440494.40999939,4464174.31999390,6.63000011,29,255,0,3.000000,10.000000,373169.562500,1.000000
440491.54999878,4464176.53999512,8.43000031,106,255,0,3.000000,17.000000,373168.562500,1.000000
440493.54999878,4464182.06999390,8.23999977,98,255,0,3.000000,4.000000,373171.375000,1.000000
440494.25999023,4464183.19999878,7.38999987,62,255,0,2.000000,13.000000,373109.031250,1.000000
440493.33999207,4464180.64000122,7.69000006,74,255,0,2.000000,27.000000,373109.343750,1.000000
440493.72999146,4464179.52000610,8.02000046,88,255,0,2.000000,7.000000,373110.343750,1.000000
440493.53998901,4464179.87999146,7.92999983,85,255,0,2.000000,5.000000,373110.937500,1.000000
440494.25999023,4464183.27998535,7.34000015,59,255,0,2.000000,19.000000,373111.343750,1.000000
440491.96999695,4464175.77000610,6.57999992,26,255,0,3.000000,13.000000,373165.687500,1.000000
440491.66999390,4464175.80000488,6.73999977,33,255,0,3.000000,12.000000,373169.562500,1.000000
440492.57999756,4464175.21000854,6.98999977,44,255,0,3.000000,10.000000,373169.968750,1.000000
440494.53998901,4464173.08000366,8.89999962,126,255,0,2.000000,11.000000,373109.750000,1.000000
440491.74000122,4464174.09999268,8.30000019,100,255,0,3.000000,1.000000,373168.562500,1.000000
440491.27000000,4464174.55000488,7.55999994,69,255,0,3.000000,26.000000,373170.281250,1.000000
440493.64998962,4464174.27998535,8.88000011,125,255,0,3.000000,20.000000,373171.281250,1.000000
440493.31998779,4464183.00999634,8.53999996,111,255,0,2.000000,15.000000,373108.343750,1.000000
440492.63999512,4464182.31001465,8.06000042,90,255,0,2.000000,29.000000,373108.843750,1.000000
440492.50999023,4464182.24000732,8.15999985,94,255,0,2.000000,27.000000,373109.125000,1.000000
